replicate,attempt_id,n_sampled_group_draws,n_unique_sampled_groups,n_sampled_trials,n_genuine,n_impostor,x_vector_eer,x_vector_auc,x_vector_min_dcf,x_vector_cllr,x_vector_cllr_min,x_vector_calibration_loss,ecapa_tdnn_eer,ecapa_tdnn_auc,ecapa_tdnn_min_dcf,ecapa_tdnn_cllr,ecapa_tdnn_cllr_min,ecapa_tdnn_calibration_loss,difference_eer,difference_auc,difference_min_dcf,difference_cllr,difference_cllr_min,difference_calibration_loss
21,21,87,62,26858,13195,13663,0.17067070860174308,0.9076112796591209,0.33247521532570257,0.5844925446007572,0.5371170187454131,0.0473755258553441,0.043328697943350654,0.992014387246161,0.08626425905208018,0.16650490245571378,0.1591111405442382,0.007393761911475588,0.12734201065839243,-0.08440310758704006,0.24621095627362238,0.41798764214504336,0.37800587820117487,0.039981763943868515
22,22,87,60,27341,14049,13292,0.1851489617815227,0.9023419536287454,0.3599719883293131,0.5834458807965998,0.558279859197232,0.02516602159936776,0.06778513391513692,0.9836410553690176,0.1341825578576097,0.2544103370153777,0.24601513412984768,0.008395202885530001,0.11736382786638579,-0.08129910174027222,0.22578943047170338,0.3290355437812221,0.31226472506738434,0.01677081871383776
23,23,87,57,23312,10146,13166,0.1514882712398975,0.9305122688618567,0.298210504576372,0.4962429989939512,0.474683129332327,0.02155986966162421,0.05529272619751626,0.9886904123988463,0.10799078104965992,0.20666872739784883,0.20255544182074714,0.004113285577101694,0.09619554504238123,-0.05817814353698958,0.19021972352671207,0.2895742715961024,0.27212768751157984,0.017446584084522515
24,24,87,54,30419,17168,13251,0.1862500943325032,0.9061598830080031,0.36938924249364713,0.5691113125317171,0.5508840843970306,0.01822722813468647,0.08242078285181734,0.9769640422784038,0.16430211653652826,0.3141816191838903,0.29406177812253576,0.02011984106135456,0.10382931148068586,-0.07080415927040073,0.20508712595711887,0.2549296933478268,0.25682230627449487,-0.0018926129266680913
25,25,87,54,24883,11727,13156,0.13541400187601263,0.9430715060574247,0.26252324890083906,0.46661246659817635,0.43323771449814297,0.03337475210003338,0.04803891760413499,0.9908671296522076,0.09368541224792684,0.1779107364033421,0.17081862710982215,0.007092109293519944,0.08737508427187764,-0.04779562359478284,0.16883783665291222,0.28870173019483425,0.2624190873883208,0.026282642806513434
26,26,87,54,25245,11942,13303,0.15608775749455703,0.9284136745629887,0.30888080003511925,0.5017847625965948,0.4861369017592189,0.01564786083737585,0.06321882282191987,0.9857796672491046,0.12520624976166783,0.23083392307460587,0.2260841091230652,0.004749813951540671,0.09286893467263715,-0.05736599268611586,0.18367455027345142,0.2709508395219889,0.2600527926361537,0.010898046885835178
27,27,87,55,24792,11349,13443,0.1609759726251581,0.9260791855872574,0.31829548120554596,0.5066581937982289,0.48856074263863014,0.01809745115959871,0.058243017005903605,0.9876265993986402,0.11444335841274117,0.21574025419466422,0.21170052760693187,0.004039726587732356,0.10273295561925448,-0.061547413811382734,0.2038521227928048,0.2909179396035646,0.2768602150316983,0.014057724571866353
28,28,87,55,23317,10554,12763,0.1851430737161266,0.9008257173002706,0.36068329473145583,0.593651127942082,0.5539283505338468,0.039722777408235155,0.0508501136096529,0.9897935275793887,0.09957389828599408,0.1875485142585356,0.1817602228551154,0.005788291403420215,0.13429296010647368,-0.08896781027911804,0.2611093964454617,0.4061026136835464,0.3721681276787314,0.03393448600481494
29,29,87,55,25920,12502,13418,0.1816217021910866,0.9077135704195811,0.3548392042636124,0.5708188035963788,0.5461889868501296,0.0246298167462492,0.0754956029214488,0.9797900155322294,0.15042722989929003,0.281927089898898,0.2694565240708564,0.012470565828041569,0.10612609926963779,-0.07207644511264832,0.20441197436432235,0.28889171369748085,0.2767324627792732,0.012159250918207631
30,30,87,58,26646,13547,13099,0.20826017253225437,0.8723489424216792,0.41263698840554497,0.6843541528490229,0.6267419404886677,0.057612212360355186,0.06614010482025541,0.9838049386754975,0.13119141473589221,0.24235850558518024,0.23626580096908345,0.006092704616096789,0.14212006771199898,-0.1114559962538183,0.2814455736696527,0.44199564726384266,0.39047613951958426,0.0515195077442584
31,31,87,58,25742,12292,13450,0.15408395704523267,0.9266497204940016,0.29700417474659374,0.5129204211288659,0.48597296179248684,0.026947459336379098,0.049544419134396354,0.9902667615894281,0.09826001013746058,0.1896763222060056,0.18630940454258196,0.0033669176634236464,0.10453953791083631,-0.06361704109542643,0.19874416460913316,0.3232440989228603,0.2996635572499049,0.023580541672955452
32,32,87,53,24940,12366,12574,0.168284004528546,0.901468588183411,0.3297099125626558,0.6232730198092813,0.543070262761623,0.08020275704765834,0.04620645777000159,0.9905318431752856,0.09035650144738491,0.18340517046855326,0.16995890402533287,0.01344626644322039,0.1220775467585444,-0.08906325499187462,0.2393534111152709,0.43986784934072803,0.3731113587362901,0.06675649060443795
33,33,87,54,26392,13503,12889,0.16789510435254867,0.9202473817437786,0.3301582099722991,0.5257660095472358,0.5092921298273175,0.016473879719918316,0.058061171591498185,0.9878394365135262,0.11432138536157577,0.2135554325555405,0.20922977010297894,0.004325662452561552,0.1098339327610505,-0.06759205476974761,0.21583682461072334,0.31221057699169535,0.3000623597243386,0.012148217267356765
34,34,87,55,26123,13290,12833,0.17336343115124153,0.9129917155949698,0.3462392825775956,0.5465462498716487,0.5342500247587634,0.012296225112885306,0.06452115639367256,0.984825357077376,0.12826465487626337,0.23765069605403322,0.23311221325566406,0.004538482798369159,0.10884227475756897,-0.07183364148240612,0.21797462770133225,0.30889555381761546,0.3011378115030993,0.007757742314516147
35,35,87,55,27632,14708,12924,0.170179494152842,0.9142915414918723,0.33711749036458155,0.555724595795406,0.5337428442398457,0.02198175155556026,0.05857319715258434,0.9865078022079583,0.11636445428924158,0.22224170793923537,0.21460969141617003,0.0076320165230653325,0.11160629700025766,-0.072216260716086,0.22075303607533997,0.33348288785617064,0.3191331528236757,0.014349735032494926
36,36,87,54,26543,13713,12830,0.18261886204208885,0.8983760964600045,0.3572259376453461,0.6075661357746437,0.5674977006246684,0.04006843514997527,0.06803762852767448,0.9828869681721022,0.1340178878000002,0.24827951179361907,0.24225873526827152,0.006020776525347549,0.11458123351441438,-0.0845108717120977,0.2232080498453459,0.3592866239810246,0.3252389653563969,0.03404765862462772
37,37,87,56,27732,14646,13086,0.18831080158405025,0.8942885194675029,0.3706714594649219,0.6216831839952273,0.5815574243386372,0.04012575965659004,0.0705994810869862,0.9820138841799695,0.13863276019235057,0.25346189075442277,0.24872361831534284,0.004738272439079927,0.11771132049706405,-0.08772536471246661,0.23203869927257134,0.3682212932408045,0.3328338060232944,0.035387487217510116
38,38,87,62,25465,11902,13563,0.16382806163828062,0.9157439296985248,0.32320704242800385,0.5484274331481227,0.5178603400337433,0.03056709311437944,0.042542210425422104,0.9922111737487795,0.08259225142666188,0.16854009886139493,0.15735128360536582,0.011188815256029105,0.12128585121285851,-0.07646724405025473,0.24061479100134198,0.3798873342867278,0.36050905642837744,0.019378277858350335
39,39,87,51,26930,14371,12559,0.20910166307146336,0.8812592774476609,0.40281201377469955,0.6393915749575518,0.6009363780893298,0.038455196868222075,0.07369007028042586,0.9808954009013993,0.14650915038889933,0.2709802200869541,0.2630692331071919,0.007910986979762225,0.13541159279103748,-0.0996361234537384,0.2563028633858002,0.36841135487059773,0.3378671449821379,0.03054420988845985
